geo_id,geo_name,geo_abbrv,geo_pop,geo_acres,geo_dens,q01raw,q01norm,q02raw,q02norm,q03raw,q03norm,q04raw,q04norm,q05raw,q05norm,q06raw,q06norm,q07raw,q07norm,q08raw,q08norm,q09raw,q09norm,q10raw,q10norm,q11raw,q11norm,q12raw,q12norm
USA-3541,Alabama,AL,4903185,32413011,0.151272123,500,20,171611.475,3.5,79,2.3752255,4903185,96.81415898,48868,80.80828124,63,1.284879114,40900,8.34151679,1860269,2.635739777,137630,36.7844171,1093410.255,22.3,828638,16.9,1696502.01,34.6
USA-3520,Arizona,AZ,7278717,72700211,0.100119613,4100,164,975348.078,13.4,63,1.8941672,7278717,64.07655241,47403,78.38575255,25,0.343467125,55000,7.556276745,2524300,2.883459573,182425,36.4904006,1666826.193,22.9,1273775,17.5,3319094.952,45.6
USA-3528,Arkansas,AR,3017825,33302707,0.090618009,650,26,144855.6,4.8,70,2.1046302,3017825,57.99552571,48616,80.39157324,24,0.795274743,24000,7.952747426,1152175,2.619241869,75962,32.7480287,703153.225,23.3,513030,17,838955.35,27.8
USA-3521,California,CA,39512223,99698701,0.396316327,2900,116,10628787.99,26.9,250,7.5165364,39512223,253.6424494,78711,130.1567616,225,0.569444043,202700,5.130058109,12965435,3.047504615,1320085,37.2017465,8969274.621,22.7,5650248,14.3,24971724.94,63.20000001
USA-3522,Colorado,CO,5758736,66330810,0.086818418,6800,272,564356.128,9.8,80,2.4052916,5758736,55.56378763,46506,76.90247048,34,0.590407339,32100,5.574139881,2113387,2.724884747,194508,35.5361815,1278439.392,22.2,817741,14.2,1848554.256,32.1
USA-3537,Connecticut,CT,3565287,3099110,1.150422863,500,20,509836.041,14.3,30,0.9019844,3565287,736.2706325,72561,119.9871019,29,0.813398753,15000,4.207234929,1367374,2.607397098,106678,32.6538983,734449.122,20.6,613229,17.2,1194371.145,33.5
USA-3555,Delaware,DE,973764,1247066,0.780843997,60,2.4,89586.288,9.2,21,0.6313891,973764,499.7401581,60214,99.57006317,9,0.924248586,6600,6.777822963,357765,2.721797828,23964,32.6404969,205464.204,21.1,182094,18.7,371004.084,38.1
USA-3542,Florida,FL,21477737,34319846,0.625810996,100,4,4402936.085,20.5,122,3.6680698,21477737,400.5190373,49407,81.69957337,129,0.600621937,149800,6.974664044,7621760,2.817949791,807817,38.4640511,4274069.663,19.9,4402936,20.5,9987147.705,46.5
USA-3543,Georgia,GA,10617423,36808634,0.288449254,600,24,1072359.723,10.1,60,1.8039687,10617423,184.6075222,54602,90.290042,68,0.640456729,91400,8.60849191,3709488,2.862234087,376506,40.4904373,2526946.674,23.8,1475822,13.9,5053893.348,47.6
USA-3518,Idaho,ID,1787147,52891597,0.033788864,5000,200,107228.82,6,40,1.2026458,1787147,21.62487323,47504,78.55276648,11,0.615506167,11300,6.322926989,618331,2.890275597,45121,30.7694931,455722.485,25.5,284156,15.9,327047.901,18.3
USA-3546,Illinois,IL,12671821,35532115,0.35663008,600,24,1774054.94,14,60,1.8039687,12671821,228.2432509,61602,101.8652644,105,0.828610189,60800,4.798047573,4830038,2.623544784,417500,36.78359,2838487.904,22.4,1976804,15.6,4942010.19,39
USA-3547,Indiana,IN,6732219,22928710,0.293615254,700,28,350075.388,5.2,48,1.443175,6732219,187.9137623,50554,83.59625624,63,0.935798434,43200,6.41690355,2553818,2.63613891,162798,33.9828706,1575339.246,23.4,1063691,15.8,1420498.209,21.1
USA-3529,Iowa,IA,3155070,35748563,0.088257254,1100,44,164063.64,5.2,62,1.864101,3155070,56.48464247,55443,91.68072229,37,1.172715661,13400,4.247132393,1256855,2.510289572,82345,31.7785899,731976.24,23.2,539517,17.1,463795.29,14.7
USA-3530,Kansas,KS,2913314,52325581,0.055676668,2000,80,206845.294,7.1,60,1.8039687,2913314,35.6330675,47984,79.34649601,34,1.1670558,17200,5.90392934,1124549,2.590651008,77194,32.282806,705021.988,24.2,463217,15.9,707935.302,24.3
